"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Senegal",0.171088043060361,NA,0.314052495098312,NA,4.97799043062201,0.551250512345955
"Iran, Islamic Republic of",0.170132595764188,0.0365127192482257,0.240082744599014,0.0337404353286562,4.71964496870502,0.665087433646701
"Sri Lanka",0.152277470084266,NA,0.424700669045555,NA,7.03431402911118,0.5005540629403
"United States of America",0.149989407527717,NA,0.496055367149218,NA,1.98305559445456,0.418073061107019
"Guinea",0.149627508553957,NA,0.200427060512393,NA,3.56078804113022,0.784144630622111
"Cote d'Ivoire (Ivory Coast)",0.142921115744012,NA,0.187879975651856,NA,2.04125617014361,0.918944066371982
"Bulgaria",0.142685546875,NA,0.865106872933396,NA,3.24584759731203,0.289068999450547
"Romania",0.142336901999868,0.0177208762656778,0.822933467736374,0.0372004984493662,3.55385455963244,0.259733939151754
"Gabon",0.140087746148352,NA,0.168821618638636,NA,1.29079415250889,0.784211598576728
"Sierra Leone",0.136856047660107,0.0202444837751609,0.170515958235673,0.02835121095028,1.84675810531601,0.838911268390505
"El Salvador",0.134077922542557,0.0244413179663321,0.450212086300796,0.0830376496025775,5.09468361642275,0.69656666045023
"Switzerland",0.124705084156006,0.000936602491323403,0.256451913095083,0.0140475205524446,5.49567749760726,0.57554997637851
"Iraq",0.123232481443774,NA,0.453329065300896,NA,1.72810935173907,0.639645987669719
"Panama",0.122652018169166,0.0387081348233063,0.301189067964138,0.0652923774643336,3.30029787276856,0.656130797559805
"Russian Federation",0.116126203785546,0.0209981462091656,0.241765442661654,0.0554945160760358,4.17212993091329,0.305068957804461
"Guatemala",0.112924167139867,0.0827796172925125,0.374743300476504,0.0850956246254632,6.15422616359348,0.538696107097138
"Turkey",0.109074266204459,0.0470099159646558,0.332027990074086,0.150520869180834,2.6171025136293,0.333536142591757
"Peru",0.106929681764499,NA,0.254912154880626,NA,5.13001473718684,0.497795908192772
"Slovakia",0.104431212484994,0.0730175609380456,0.899494092192519,0.0109211265657559,5.54402972326614,0.254751414214586
"Ukraine",0.10347599688503,0.0481170630676049,0.286729650560845,0.0635301908872589,4.55644544619499,0.282106317998174
"Rwanda",0.103233621318958,0.00287019815079891,0.206854345165239,0.00519295065742875,1.43873902391431,0.998624816485235
"Finland",0.100503682999971,NA,0.561477322806743,NA,5.62911772739689,0.254848304377757
"Botswana",0.0926246537396122,NA,0.199077442368769,NA,1.83132530120482,0.57838985905405
"Canada",0.0876086924172003,NA,0.384903249556231,NA,2.70152093802345,0.286730105735732
"Algeria",0.0871405403267276,NA,0.23140756302521,NA,2.2810610845439,0.813760706044483
"Djibouti",0.0830932543008241,0.0114897657632143,0.167339493113423,0.013356902412207,1.43386697458566,0.834646213932939
"Dominican Republic",0.0822120537668607,0.00383258120564451,0.126526726945757,0.00422969207093908,2.3330905070494,0.950192066029017
"Serbia",0.0780276751877222,0.0125549286528198,0.630504019135953,0.187620837233775,6.16246848905793,0.224212689944818
"Burundi",0.0702671050853565,NA,0.139687363696481,NA,1.97044466140055,0.662908205776047
"Paraguay",0.0669320147207673,0.0338800429391961,0.133580139754684,0.0545192056055698,2.34217711985712,0.800120210194635
"Zimbabwe",0.0641692681234825,NA,0.160573309492562,NA,1.70932607215793,0.425830016728688
"Czech Republic",0.0596822618788204,0.000942140078580572,0.173082653077093,0.033322840839855,4.79902740938062,0.497848837263835
"Brazil",0.0552170055167625,NA,0.514940590433334,NA,10.4768564176354,0.154949091028431
"Sweden",0.0550499157070555,0.0272901097920336,0.254970490925969,0.0301399593798478,4.97784818331662,0.211256925484446
"Estonia",0.0542381028681301,NA,0.358569135054939,NA,3.66578560939794,0.279090539195812
"Croatia",0.0531390876670598,0.0125990972089015,0.933333333333334,0.0942809041582061,3.1867383320042,0.163650355288184
"Slovenia",0.0528946272386506,NA,0.400982470454095,NA,4.80734149054505,0.190694347211614
"Philippines",0.0420440202334593,0.00308446935375062,0.328197824060548,0.0671695858932128,6.25462180177754,0.364856063172655
"Uzbekistan",0.0367638855438933,0.000933293148945982,0.241422224364448,0.0139100455157622,1.60137428129127,0.221831427537995
"Colombia",0.0346631638206042,NA,0.504589160839161,NA,5.64058596892332,0.221819376791591
"Denmark",0.0339121876343646,0.00101387991354323,0.692478395589502,0.0393296686927489,6.47330840366263,0.103602782315969
"United Kingdom (Great Britain)",0.0337264649453694,NA,0.245716806184395,NA,2.39698739714816,0.169036179779272
"Jamaica",0.0307105481930657,NA,0.101506764513201,NA,1.99521904576056,0.363354142054808
"Hungary",0.0306684174642054,0.0168737129926337,0.885236985236985,0.0480195281085504,2.42613309516655,0.0879010368196004
"Georgia",0.0271827713161467,0.00525626088430547,0.309926625099894,0.162254007738631,2.36024977352952,0.158727855735126
"Germany",0.0270439848535796,0.0117222360041802,0.50735563976878,0.191709652230283,4.69602170880918,0.0737362326125037
"France",0.026989993323315,0.029307858382206,0.353780839806627,0.240767836579627,2.60532326369276,0.121034465586615
"Venezuela, Bolivarian Republic of",0.0269606811710082,NA,0.490338457415614,NA,4.46197659135006,0.126741960208622
"Thailand",0.0256322182606468,0.00982924200008947,0.413638839733017,0.099400347311877,3.19830160730357,0.147600154387695
"Fiji",0.0236495565708143,NA,0.0399910468957427,NA,1.03332407664538,0.6895265009142
"Chile",0.0178385610227441,NA,0.654205607476636,NA,6.25767441860465,0.105197211283148
