"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Madagascar",0.0949611959433163,NA,0.608297533355353,NA,10.1324518673162,0.261079354003627
"Jamaica",0.09,NA,0.272953216374269,NA,1.92307692307692,0.356068836028817
"Guatemala",0.0894747626528243,NA,0.466524216524217,NA,4.91803829358414,0.475898848905542
"Serbia",0.0859229487305166,NA,0.605237823298622,NA,5.97423133235725,0.204333911252026
"Lithuania",0.0835722549167547,0.0404396363467181,0.812676730532474,0.114635447348372,4.9759734893868,0.179175479191358
"Dominican Republic",0.071771303040814,NA,0.104210830471245,NA,2.40383546414675,0.940334524538668
"Brazil",0.069168234345606,NA,0.397995330819119,NA,10.1840574751967,0.159412252906598
"Rwanda",0.061801446416831,NA,0.123684210526316,NA,1.79787234042553,0.999591034189098
"Ethiopia",0.0593950850661626,NA,0.0798179234861149,NA,1.06314562482415,0.662470441136188
"Croatia",0.057919358431722,NA,1,NA,2.8393421884883,0.201595107853842
"Uzbekistan",0.0538254517493272,NA,0.326089594253543,NA,3.39777922926192,0.199371085538515
"Nicaragua",0.0526472337894111,NA,0.239158854935329,NA,3.11584800741427,0.329273711236891
"Mongolia",0.0517754413806785,NA,0.0995942978130219,NA,1.87189008540661,0.512458408105143
"Colombia",0.0465331482583119,NA,0.596610169491525,NA,5.78989667049369,0.234216508586952
"Philippines",0.0448242293131422,NA,0.3681592039801,NA,5.81958957572705,0.383597658432784
"Sweden",0.0393494430955409,NA,0.295685419787823,NA,4.52695551032277,0.149141765387192
"Taiwan",0.0387308918056651,0.023047592813259,0.39047619047619,0.208764859207457,2.07299356147106,0.300394986414536
"Denmark",0.0382863889357396,NA,0.671052631578948,NA,4.312,0.0939058179720145
"Thailand",0.038124,0.00729740264294998,0.609332185970191,0.0482852351882258,3.18447880809504,0.15260262778958
"Austria",0.0377066115702479,NA,0.35632183908046,NA,4.02076843198339,0.076126876462562
"Germany",0.026634971481546,0.0145331720501466,0.467563737650663,0.118220147859002,4.45191650619726,0.0745126888247602
"Singapore",0.0261748958953004,NA,0.063894132749377,NA,1.10229508196721,0.586854792873706
