"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Indonesia",0.127082703618199,0.116926675416496,0.211921794684711,0.0587168758412989,3.16495590841987,0.511653848677046
"Central African Republic",0.126436781609195,0.178808611334529,0.344274312423977,NA,1.45737414621806,0.392120449280687
"South Africa",0.124941587726757,0.122367284512131,0.295233336668396,0.269901878319062,1.85359634571565,0.567944989540108
"Spain",0.123804677032361,0.110243604965547,0.370679789209345,0.302706260188043,2.35612760835886,0.430493677943641
"Montenegro",0.12105827063092,0.142281117156053,0.588160528444388,0.582428966194514,1.97519576124162,0.667793615656992
"Timor-Leste (East Timor)",0.12,0.169705627484771,0.383333333333333,NA,1.23529411764706,0.480114858930381
"New Zealand",0.119037656657089,0.0325896494861408,0.393073123724862,0.141970055763495,2.9174178631459,0.482243960320459
"Panama",0.115519407524962,0.0347183569593076,0.277079307690852,0.0321370909137067,2.99664988907092,0.665917002078217
"Paraguay",0.113989512471656,0.0640865627223355,0.240202983247743,0.098072084725598,2.97621943233483,0.761375215088369
"Gambia",0.109129962217276,0.154333072628936,0.268326644763254,NA,1.36649026818549,0.41435824876169
"Guinea",0.109077929803688,0.154259487683957,0.310177554070983,NA,1.64640733264226,0.891795198672569
"Senegal",0.108612072279892,NA,0.220208657089357,NA,1.46287964004499,0.551250512345955
"Guatemala",0.103630014097142,0.111864111536913,0.506827967354283,0.00847473907147918,3.22119804089495,0.382287525416095
"Guinea-Bissau",0.103608962918897,0.146525200543316,0.250153094591094,NA,1.4463905917678,0.964256268284893
"Ghana",0.0995200373779432,0.117684153892046,0.248862259333949,0.180883371557546,1.57917362101068,0.715520611670128
"Rwanda",0.099192931610514,0.0456784016694528,0.19851031435651,0.091425484948471,1.85552260934025,0.999558361741374
"Russian Federation",0.0986732633707752,0.0254255458474283,0.194845877719429,0.0762885879564427,3.41669175378798,0.313857037893427
"Switzerland",0.0977003231810111,0.0261780240252362,0.194323701988367,0.0584958997859854,3.81652687559539,0.578268251965011
"Canada",0.0950107279435038,0.0424112352679934,0.276961004101738,0.0797225125418836,1.63346019115167,0.572123554865132
"Trinidad and Tobago",0.0894886363636365,0.126556043223729,0.270679688665834,NA,1.14511829390204,0.388279254014828
"Malawi",0.0875348970692896,0.109652423032143,0.217327054152048,0.168925710740018,1.57066069577821,0.669556334623617
